district,state,child_stunting_rate,child_wasting_rate,child_underweight_rate,child_anemia_rate,women_anemia_rate,child_diarrhea_rate,child_ari_rate,safe_drinking_water_access,sanitation_access,electricity_access,clean_cooking_fuel_access,iodized_salt_usage,institutional_delivery_rate,full_immunization_rate,health_insurance_coverage,tobacco_use_women,tobacco_use_men,alcohol_use_women,alcohol_use_men,high_blood_sugar_women,high_blood_sugar_men,high_blood_pressure_women,high_blood_pressure_men,female_education_rate,overall_child_health_risk_score,basic_infrastructure_risk_score,lifestyle_disease_risk_score,chronic_disease_risk_score,healthcare_accessibility_score,district_overall_health_risk_score,district_risk_level,district_health_risk_rank,identified_health_risk_factors
jhabua,madhya pradesh,49.3,17.9,41.7,80.1,58.8,2.5,1.3,85.2,57.6,98.9,17.5,96.1,92.9,88.9,43.7,4.2,35.2,1.1,22.0,9.3,11.2,23.5,23.7,45.9,39.54,-52.43333333333334,15.625000000000002,16.925,75.16666666666667,11.839333333333332,High,60.0,"['High malnutrition', 'High anemia', 'High tobacco usage']"
alirajpur,madhya pradesh,34.6,15.4,31.6,76.4,60.5,2.4,0.7,89.6,84.7,98.5,17.4,97.1,83.2,84.1,42.5,10.6,46.3,3.8,37.4,7.3,8.0,22.0,27.7,45.4,33.52000000000001,-62.900000000000006,24.525,16.25,69.93333333333334,8.983000000000004,High,166.0,"['High malnutrition', 'High anemia', 'High tobacco usage']"
khandwa,madhya pradesh,38.4,20.7,35.3,86.8,64.8,4.2,8.149999999999999,88.7,76.7,99.3,48.3,98.7,93.2,87.9,38.1,6.9,44.9,0.4,14.8,9.0,9.5,21.3,17.6,67.1,38.735,-70.23333333333333,16.75,14.350000000000001,73.06666666666668,7.667333333333334,High,231.0,"['High malnutrition', 'High anemia', 'High tobacco usage']"
burhanpur,madhya pradesh,38.7,27.9,47.2,77.9,57.3,6.2,3.0,96.0,74.0,98.3,68.2,94.9,90.7,91.7,42.2,9.5,35.4,1.0,13.7,7.1,9.1,13.9,15.9,69.8,39.275,-78.39999999999999,14.899999999999999,11.5,74.86666666666667,5.310000000000001,High,370.0,"['High malnutrition', 'High anemia', 'High tobacco usage']"
agar malwa,madhya pradesh,40.3,18.7,35.7,71.6,59.2,0.8,0.0,81.4,72.3,99.5,39.5,99.9,98.9,75.8,58.9,2.6,37.6,0.5,8.2,19.5,18.9,21.2,25.2,56.3,34.974999999999994,-63.4,12.225000000000001,21.2,77.86666666666666,7.994999999999999,High,215.0,"['High malnutrition', 'High anemia', 'High tobacco usage']"
shajapur,madhya pradesh,27.8,23.4,27.6,76.1,45.8,4.0,1.8,91.8,74.5,99.9,37.7,97.2,98.1,90.0,34.3,5.3,46.6,0.3,11.6,7.0,7.5,23.3,26.1,62.6,31.174999999999997,-67.0,15.95,15.975000000000001,74.13333333333333,5.454999999999998,High,360.0,"['High malnutrition', 'High anemia', 'High tobacco usage']"
nandurbar,maharashtra,45.8,30.7,57.2,79.3,64.2,9.8,4.7,94.6,54.1,96.2,40.3,97.6,76.3,72.4,15.3,26.7,42.6,2.8,13.1,10.4,10.5,23.5,24.6,63.5,44.4,-62.0,21.299999999999997,17.25,54.666666666666664,13.07,High,30.0,"['High malnutrition', 'High anemia', 'High tobacco usage']"
dhule,maharashtra,37.6,36.150000000000006,46.0,72.2,61.2,15.7,2.1,89.9,58.9,96.0,65.1,98.0,77.2,56.6,19.8,15.6,38.2,0.5,12.2,13.4,15.3,21.4,25.1,73.5,40.4525,-70.3,16.625,18.8,51.20000000000001,9.206000000000001,High,150.0,"['High malnutrition', 'High anemia', 'High tobacco usage']"
jalgaon,maharashtra,36.3,30.5,36.9,85.2,65.2,6.7,4.1,94.3,59.7,96.8,79.5,96.8,86.5,61.3,11.9,12.6,37.7,0.5,12.3,12.8,15.2,20.7,24.4,77.5,39.565,-76.83333333333333,15.775000000000002,18.275,53.23333333333334,7.269333333333334,High,253.0,"['High malnutrition', 'High anemia', 'High tobacco usage']"
buldana,maharashtra,45.0,31.7,47.2,79.4,57.8,8.8,6.3,89.7,68.9,97.1,69.2,97.8,93.9,85.9,37.9,12.0,42.5,0.2,14.3,10.2,9.0,20.1,20.5,78.1,42.28500000000001,-74.93333333333334,17.25,14.950000000000001,72.56666666666668,8.367333333333338,High,194.0,"['High malnutrition', 'High anemia', 'High tobacco usage']"
akola,maharashtra,31.8,29.4,30.8,77.5,52.6,12.0,6.5,95.1,69.5,97.6,75.5,95.2,97.7,69.5,40.1,10.4,44.0,0.2,12.9,9.6,9.8,19.4,19.1,86.3,35.715,-79.03333333333333,16.875,14.475,69.1,4.749333333333334,High,409.0,"['High malnutrition', 'High anemia', 'High tobacco usage']"
washim,maharashtra,35.3,31.7,39.3,70.4,56.4,16.199999999999996,5.1,81.05000000000001,61.5,97.2,61.4,96.5,92.9,71.6,24.1,14.3,39.1,0.4,11.3,8.1,9.1,21.9,21.0,76.0,37.80499999999999,-66.98333333333333,16.275000000000002,15.025,62.86666666666667,7.985333333333331,High,216.0,"['High malnutrition', 'High anemia', 'High tobacco usage']"
amravati,maharashtra,29.0,26.2,38.0,74.4,53.4,11.6,5.2,95.8,75.7,99.1,71.7,98.5,91.3,92.5,31.9,9.0,40.8,0.9,18.4,10.3,13.1,19.8,18.7,86.2,35.059999999999995,-80.06666666666666,17.275,15.474999999999998,71.9,4.560666666666667,High,420.0,"['High malnutrition', 'High anemia', 'High tobacco usage']"
wardha,maharashtra,27.7,28.1,31.3,71.4,60.0,6.0,2.5,98.5,80.2,98.8,83.9,97.9,98.8,92.4,27.1,9.5,52.6,0.6,24.6,9.0,10.4,17.1,14.0,85.1,33.395,-86.53333333333335,21.825,12.625,72.76666666666667,2.9413333333333345,High,505.0,"['High malnutrition', 'High anemia', 'High tobacco usage']"
nagpur,maharashtra,27.6,34.0,33.9,70.5,53.6,4.0,3.9,99.5,88.9,99.5,96.0,97.6,100.0,89.4,25.6,5.0,40.2,0.4,17.8,10.7,12.8,21.3,18.3,86.5,33.81,-93.8,15.85,15.774999999999999,71.66666666666667,1.088999999999999,High,597.0,"['High malnutrition', 'High anemia', 'High tobacco usage']"
bhandara,maharashtra,31.3,28.4,33.9,72.8,65.3,3.9,2.7,92.0,81.8,98.8,71.4,95.4,100.0,87.0,30.0,19.7,60.7,1.3,26.0,10.5,10.1,21.8,19.3,80.3,35.28000000000001,-80.73333333333333,26.925,15.425,72.33333333333333,6.435333333333336,High,302.0,"['High malnutrition', 'High anemia', 'High tobacco usage']"
gondiya,maharashtra,36.9,23.7,35.6,78.0,60.4,4.5,2.6,91.6,74.3,98.2,68.0,98.0,99.1,88.2,30.6,17.2,55.1,0.4,22.6,7.9,10.2,21.8,18.9,80.4,36.57,-76.96666666666665,23.825000000000003,14.7,72.63333333333334,6.939666666666669,High,267.0,"['High malnutrition', 'High anemia', 'High tobacco usage']"
gadchiroli,maharashtra,35.7,30.0,35.4,76.6,66.2,4.7,3.2,83.0,62.4,95.8,60.5,97.7,97.3,97.9,33.3,26.5,61.4,3.1,34.7,7.3,10.3,17.0,17.2,67.1,37.635,-67.63333333333334,31.425,12.95,76.16666666666667,10.402333333333331,High,104.0,"['High malnutrition', 'High anemia', 'High tobacco usage']"
chandrapur,maharashtra,37.3,36.150000000000006,46.6,76.6,55.5,5.7,7.3,96.5,77.3,98.9,85.1,97.4,99.6,95.0,28.9,11.3,49.1,0.5,20.8,8.8,11.3,20.7,20.6,78.9,40.077499999999986,-85.3,20.425,15.350000000000001,74.5,6.125999999999997,High,319.0,"['High malnutrition', 'High anemia', 'High tobacco usage']"
yavatmal,maharashtra,36.6,27.5,39.4,75.2,58.4,7.4,0.0,89.5,66.4,97.2,71.8,94.6,96.3,74.7,29.0,12.3,46.6,0.7,20.1,10.6,10.7,17.2,18.2,77.6,37.044999999999995,-74.89999999999999,19.925,14.175,66.66666666666667,6.6579999999999995,High,285.0,"['High malnutrition', 'High anemia', 'High tobacco usage']"
nanded,maharashtra,36.0,19.0,35.2,76.1,57.3,14.4,1.0,94.8,68.0,96.4,64.5,96.9,94.8,75.7,15.7,5.7,36.7,0.2,14.1,9.1,12.1,16.7,17.3,68.1,35.815,-74.76666666666667,14.175000000000002,13.8,62.06666666666666,4.967666666666668,High,399.0,"['High malnutrition', 'High anemia', 'High tobacco usage']"
hingoli,maharashtra,37.4,25.8,38.9,72.5,51.3,10.1,3.2,92.4,69.0,98.1,53.1,99.0,94.0,76.9,14.7,7.8,32.7,0.2,11.8,10.5,10.7,17.4,17.4,69.4,36.39,-70.5,13.125,13.999999999999998,61.86666666666667,5.880999999999999,High,340.0,"['High malnutrition', 'High anemia', 'High tobacco usage']"
parbhani,maharashtra,37.6,22.8,41.8,75.4,58.8,16.199999999999996,1.4,89.0,60.1,96.8,54.8,95.1,85.6,52.0,10.5,7.0,37.7,0.1,13.8,11.6,13.4,21.0,21.6,67.1,38.04,-66.96666666666665,14.65,16.9,49.36666666666667,8.132666666666669,High,206.0,"['High malnutrition', 'High anemia', 'High tobacco usage']"
jalna,maharashtra,38.0,22.2,39.0,68.3,58.2,16.199999999999996,7.0,82.8,63.6,95.7,56.4,97.6,92.8,54.3,9.7,7.0,32.5,0.2,11.3,11.0,13.0,21.8,24.8,67.6,37.065,-66.60000000000001,12.75,17.65,52.26666666666666,7.5859999999999985,High,237.0,"['High malnutrition', 'High anemia', 'High tobacco usage']"
aurangabad,maharashtra,34.2,26.4,42.9,64.5,52.4,12.6,4.1,91.7,69.1,97.0,78.4,98.9,94.8,56.7,12.4,7.9,33.8,0.2,13.7,13.1,14.1,20.8,20.9,78.4,35.529999999999994,-78.73333333333333,13.899999999999999,17.224999999999998,54.63333333333333,4.69033333333333,High,415.0,"['High malnutrition', 'High anemia', 'High tobacco usage']"
nashik,maharashtra,42.2,27.2,44.8,67.3,56.2,16.199999999999996,4.7,86.3,68.3,95.3,72.5,91.6,90.5,70.4,14.7,15.4,35.0,0.2,12.2,10.3,12.0,22.5,26.1,78.2,39.154999999999994,-74.7,15.7,17.725,58.53333333333333,7.406999999999998,High,246.0,"['High malnutrition', 'High anemia', 'High tobacco usage']"
mumbai suburban,maharashtra,37.2,18.6,24.6,65.6,50.0,1.7,1.7,99.8,62.6,99.2,98.7,99.5,98.1,78.1,20.2,5.9,20.0,0.3,10.0,19.7,21.0,26.6,28.0,88.5,30.96,-86.03333333333335,9.049999999999999,23.825000000000003,65.46666666666665,1.75233333333333,High,561.0,"['High malnutrition', 'High anemia', 'High tobacco usage']"
mumbai,maharashtra,26.6,25.3,29.6,72.8,45.9,3.5,1.7,100.0,58.6,99.6,98.3,98.3,99.5,78.1,30.7,5.3,20.3,1.1,16.0,17.5,18.2,21.0,23.3,92.5,30.915000000000003,-84.63333333333333,10.675,20.0,69.43333333333332,1.5743333333333358,High,572.0,"['High malnutrition', 'High anemia', 'High tobacco usage']"
raigarh,maharashtra,35.8,19.1,34.1,67.0,54.2,3.8,2.6,87.8,74.8,97.9,83.3,86.6,96.6,92.3,26.3,16.2,31.8,0.4,18.7,11.5,13.5,24.8,26.4,73.7,33.04,-80.96666666666665,16.775000000000002,19.05,71.73333333333333,4.18766666666667,High,437.0,"['High malnutrition', 'High anemia', 'High tobacco usage']"
pune,maharashtra,30.7,31.4,32.7,58.7,51.9,6.7,3.3,96.9,79.6,99.4,89.5,97.0,98.0,58.1,14.4,11.7,27.9,0.2,11.6,12.3,15.1,22.4,25.8,84.8,32.285000000000004,-87.66666666666667,12.85,18.9,56.833333333333336,1.7306666666666666,High,563.0,"['High malnutrition', 'High anemia', 'High tobacco usage']"
ahmednagar,maharashtra,31.7,24.9,41.2,64.5,50.3,15.9,2.7,90.0,79.5,94.5,77.4,95.5,97.9,83.5,12.0,14.7,37.7,0.2,10.5,11.0,12.5,23.6,25.3,77.4,34.40500000000001,-81.3,15.775000000000002,18.1,64.46666666666667,4.277000000000004,High,433.0,"['High malnutrition', 'High anemia', 'High tobacco usage']"
bid,maharashtra,40.8,28.4,36.8,61.0,50.8,14.8,3.0,85.4,66.4,94.8,54.4,96.3,94.0,75.9,9.3,6.0,37.8,0.5,9.8,10.5,12.9,26.4,24.1,64.6,35.98999999999999,-67.73333333333333,13.524999999999999,18.475,59.73333333333334,7.249333333333329,High,254.0,"['High malnutrition', 'High anemia', 'High tobacco usage']"
latur,maharashtra,43.2,18.0,33.9,59.5,50.7,9.8,3.3,94.6,72.5,97.2,78.5,97.8,94.7,79.2,33.6,3.7,37.5,0.2,14.2,10.2,11.1,18.6,19.6,70.6,33.88999999999999,-80.86666666666666,13.900000000000002,14.875,69.16666666666667,3.137666666666666,High,499.0,"['High malnutrition', 'High anemia', 'High tobacco usage']"
osmanabad,maharashtra,37.2,16.1,32.5,67.4,49.1,9.2,4.1,96.4,71.2,96.8,69.7,97.5,98.1,89.3,14.8,8.0,44.2,0.3,12.4,9.5,11.2,23.5,26.2,71.3,32.94,-78.10000000000001,16.225,17.6,67.39999999999999,4.320999999999998,High,430.0,"['High malnutrition', 'High anemia', 'High tobacco usage']"
solapur,maharashtra,36.3,23.2,32.9,70.9,54.5,11.4,2.4,90.4,67.8,97.1,73.1,96.5,96.2,83.6,20.5,10.2,39.2,0.3,13.1,11.1,12.2,25.7,26.2,72.0,34.955000000000005,-76.1,15.700000000000001,18.8,66.76666666666667,5.662000000000004,High,348.0,"['High malnutrition', 'High anemia', 'High tobacco usage']"
satara,maharashtra,20.2,20.5,28.0,68.9,49.6,10.4,5.9,95.6,78.7,97.9,82.1,93.9,97.1,82.8,11.4,29.5,40.6,0.5,11.7,12.0,12.9,27.2,29.8,78.5,29.25,-84.46666666666667,20.575,20.475,63.76666666666666,3.0166666666666675,High,503.0,"['High malnutrition', 'High anemia', 'High tobacco usage']"
ratnagiri,maharashtra,31.7,23.7,29.5,69.4,43.4,2.7,2.4,90.9,85.6,99.2,58.1,91.1,97.8,77.2,16.6,18.4,31.3,0.5,13.0,16.9,16.5,32.4,33.9,80.3,31.165,-77.2,15.8,24.924999999999997,63.86666666666667,5.170999999999999,High,382.0,"['High malnutrition', 'High anemia', 'High tobacco usage']"
sindhudurg,maharashtra,30.8,27.7,32.0,55.6,41.2,0.6,1.4,81.05000000000001,87.9,99.4,66.0,94.9,100.0,76.3,13.2,11.5,26.8,0.1,8.5,20.6,23.4,34.849999999999994,37.9,83.1,29.315,-77.31666666666668,11.725,29.1875,63.166666666666664,4.445166666666665,High,425.0,"['High malnutrition', 'High anemia', 'High tobacco usage']"
kolhapur,maharashtra,33.6,18.9,34.7,66.4,50.1,3.9,3.2,97.3,82.0,98.8,84.7,97.7,99.2,67.2,16.5,9.6,25.8,0.0,10.0,14.2,16.5,31.0,33.2,80.2,32.12,-87.0,11.35,23.725,60.96666666666667,2.462999999999997,High,534.0,"['High malnutrition', 'High anemia', 'High tobacco usage']"
sangli,maharashtra,35.0,18.6,27.2,62.7,47.5,3.8,0.3,96.8,84.7,98.2,87.3,98.8,98.0,75.0,12.3,11.4,31.5,0.2,7.7,15.2,18.0,30.1,32.0,80.4,30.185,-88.60000000000001,12.700000000000001,23.825000000000003,61.76666666666667,1.6589999999999985,High,569.0,"['High malnutrition', 'High anemia', 'High tobacco usage']"
palghar,maharashtra,33.0,23.9,37.1,70.3,56.9,1.8,4.7,91.1,75.1,97.7,75.0,86.6,94.2,94.0,18.8,8.3,26.2,1.4,22.4,12.2,12.9,23.4,22.4,77.5,34.285,-79.39999999999999,14.575,17.725,69.0,4.2940000000000005,High,432.0,"['High malnutrition', 'High anemia', 'High tobacco usage']"
thane,maharashtra,40.8,17.8,30.8,67.9,58.8,3.0,0.4,96.7,74.7,99.3,90.4,97.5,93.6,74.9,22.7,6.9,24.2,0.4,15.6,15.7,13.9,24.5,29.7,86.1,33.894999999999996,-86.26666666666667,11.775,20.95,63.73333333333333,2.8496666666666663,High,509.0,"['High malnutrition', 'High anemia', 'High tobacco usage']"
senapati,manipur,27.3,10.7,12.9,48.5,27.64999999999999,4.4,2.3,81.05000000000001,84.4,98.8,50.0,98.8,63.15,65.0,15.4,30.85,63.7,1.2,35.1,9.8,10.9,18.7,28.2,79.6,21.075000000000003,-70.81666666666668,32.7125,16.900000000000002,47.85,4.189166666666667,High,436.0,"['High malnutrition', 'High anemia', 'High tobacco usage']"
tamenglong,manipur,27.1,9.6,19.3,37.75,27.64999999999999,3.2,1.4,81.05000000000001,77.9,93.6,30.5,99.5,63.15,67.4,16.8,17.2,52.2,2.2,33.9,11.7,12.7,21.5,29.4,78.4,19.997500000000002,-62.150000000000006,26.375000000000004,18.825,49.116666666666674,4.609000000000002,High,419.0,"['High malnutrition', 'High anemia', 'High tobacco usage']"
churachandpur,manipur,25.1,12.1,9.8,41.1,32.0,4.0,1.3,81.05000000000001,81.2,94.0,62.3,99.1,72.9,64.9,18.2,30.85,73.8,1.2,38.1,13.5,15.2,16.3,25.2,84.0,19.455,-73.85000000000001,35.9875,17.55,52.0,3.719499999999997,High,467.0,"['High malnutrition', 'High anemia', 'High tobacco usage']"
bishnupur,manipur,15.5,7.9,11.7,42.4,35.8,9.7,2.1,81.05000000000001,52.6,98.6,71.3,99.4,89.5,66.6,9.3,30.85,60.2,0.8,44.3,13.4,15.8,23.6,31.3,81.5,17.935000000000002,-67.31666666666666,34.03750000000001,21.025,55.13333333333333,4.72316666666667,High,411.0,"['High malnutrition', 'High anemia', 'High tobacco usage']"
thoubal,manipur,31.5,8.3,14.9,39.7,27.64999999999999,3.7,1.1,81.05000000000001,61.3,98.6,74.7,99.8,87.8,74.2,19.1,30.85,58.5,1.0,34.1,10.6,12.9,23.2,33.4,79.9,20.555000000000003,-71.35000000000001,31.112499999999997,20.025,60.36666666666667,4.179499999999998,High,438.0,"['High malnutrition', 'High anemia', 'High tobacco usage']"
imphal west,manipur,15.6,9.3,10.2,41.8,27.64999999999999,2.3,2.4,89.1,58.7,99.4,88.6,99.0,95.7,74.1,15.7,30.85,52.3,0.5,39.3,16.6,21.8,27.5,38.4,89.0,16.329999999999995,-77.8,30.7375,26.075000000000003,61.833333333333336,2.3344999999999994,High,539.0,"['High malnutrition', 'High anemia', 'High tobacco usage']"
imphal east,manipur,18.4,11.7,14.4,50.3,35.9,11.7,1.9,90.2,59.5,98.6,79.0,99.1,91.7,76.2,7.0,30.85,53.5,0.8,36.1,15.9,18.5,21.9,36.0,87.2,21.01,-75.23333333333333,30.312499999999996,23.075000000000003,58.300000000000004,4.034833333333336,High,446.0,"['High malnutrition', 'High anemia', 'High tobacco usage']"
ukhrul,manipur,27.1,11.6,16.0,37.75,27.64999999999999,2.1,1.9,81.05000000000001,81.4,95.0,22.9,99.4,63.15,44.62499999999999,17.0,30.85,69.1,0.9,36.4,7.9,11.7,22.3,25.0,83.7,19.742500000000003,-60.78333333333334,34.3125,16.725,41.59166666666666,5.947833333333335,High,329.0,"['High malnutrition', 'High anemia', 'High tobacco usage']"
chandel,manipur,34.0,8.3,14.7,42.4,27.64999999999999,4.9,1.2,81.05000000000001,85.2,99.9,52.0,99.4,63.15,55.5,16.1,30.85,64.7,1.2,39.1,13.4,14.5,21.7,28.2,76.9,21.685000000000002,-71.75,33.9625,19.45,44.916666666666664,5.006500000000001,High,394.5,"['High malnutrition', 'High anemia', 'High tobacco usage']"
south garo hills,meghalaya,29.8,18.3,20.8,37.75,56.2,5.4,3.1,81.05000000000001,88.4,98.6,22.3,86.6,88.3,86.8,79.5,9.7,50.7,1.4,33.1,12.8,23.7,15.8,22.8,89.2,25.447499999999998,-62.91666666666668,23.725,18.775,84.86666666666666,6.095666666666665,High,320.0,"['High malnutrition', 'High anemia', 'High tobacco usage']"
ribhoi,meghalaya,42.5,17.9,29.6,45.7,62.4,11.3,3.6,86.2,85.3,92.1,21.0,96.6,63.15,74.8,66.8,30.85,60.4,0.7,30.9,8.0,8.1,13.5,16.0,85.3,32.335,-63.166666666666664,30.712500000000002,11.4,68.25,8.72316666666667,High,173.0,"['High malnutrition', 'High anemia', 'High tobacco usage']"
east khasi hills,meghalaya,44.6,11.2,23.8,39.0,48.2,11.5,5.1,90.0,80.9,96.6,47.4,93.3,63.4,49.1,47.1,29.8,51.9,1.2,24.0,9.1,9.4,24.5,25.0,88.7,28.73,-71.76666666666667,26.725,17.0,53.199999999999996,5.883666666666668,High,339.0,"['High malnutrition', 'High anemia', 'High tobacco usage']"
east garo hills,meghalaya,39.7,20.1,26.5,37.75,50.9,9.2,1.6,81.05000000000001,83.9,97.4,29.1,86.6,73.8,72.4,71.9,6.3,54.0,0.9,36.8,9.3,16.2,15.3,23.2,90.9,28.7475,-63.68333333333334,24.5,16.0,72.7,6.862333333333333,High,271.0,"['High malnutrition', 'High anemia', 'High tobacco usage']"
east jantia hills,meghalaya,49.8,8.5,23.6,47.2,43.9,10.6,4.8,81.05000000000001,83.6,91.75000000000001,26.5,97.2,63.15,74.4,74.1,30.85,68.5,3.6,42.0,6.3,7.7,18.7,17.2,76.0,30.275,-62.71666666666667,36.2375,12.475,70.55,9.309166666666664,High,147.0,"['High malnutrition', 'High anemia', 'High tobacco usage']"
north garo hills,meghalaya,35.6,11.7,15.8,37.75,58.4,6.6,0.9,81.05000000000001,84.9,97.5,24.4,86.6,63.15,47.5,60.8,3.8,54.1,2.2,40.2,12.2,18.7,20.0,25.4,91.3,25.2775,-62.45000000000001,25.075,19.075,57.15,6.450999999999999,High,300.0,"['High malnutrition', 'High anemia', 'High tobacco usage']"
south west garo hills,meghalaya,32.2,19.9,26.4,37.75,62.5,7.9,7.5,81.05000000000001,71.4,95.5,33.9,86.6,83.7,85.4,75.1,11.1,52.4,1.2,30.6,12.9,16.7,13.6,20.0,81.7,28.447499999999998,-61.116666666666674,23.825,15.8,81.4,7.080666666666663,High,260.0,"['High malnutrition', 'High anemia', 'High tobacco usage']"
south west khasi hills,meghalaya,51.4,10.4,27.6,61.3,58.9,7.5,6.0,85.3,89.6,91.75000000000001,11.6,99.7,63.15,78.8,72.3,30.85,63.7,1.1,31.7,6.3,6.9,18.5,19.0,84.6,34.985,-61.16666666666666,31.837500000000002,12.675,71.41666666666667,10.663166666666669,High,98.0,"['High malnutrition', 'High anemia', 'High tobacco usage']"
west garo hills,meghalaya,39.5,14.9,26.3,37.75,55.3,7.8,3.5,83.7,86.3,94.7,47.6,88.5,89.6,77.1,77.9,17.6,58.3,2.1,38.8,12.1,24.6,17.4,24.7,88.7,28.377500000000005,-71.53333333333333,29.2,19.700000000000003,81.53333333333333,6.824333333333337,High,274.0,"['High malnutrition', 'High anemia', 'High tobacco usage']"
west jaintia hills,meghalaya,48.7,9.7,28.3,54.6,55.9,13.7,4.8,81.05000000000001,75.1,91.75000000000001,20.7,97.3,63.15,59.7,65.6,30.85,64.7,1.3,36.9,8.8,7.8,18.0,15.5,73.8,33.504999999999995,-57.949999999999996,33.43750000000001,12.525,62.81666666666666,11.004500000000002,High,89.0,"['High malnutrition', 'High anemia', 'High tobacco usage']"
west khasi hills,meghalaya,57.050000000000004,8.0,31.1,56.2,51.8,10.1,6.5,81.05000000000001,87.8,91.75000000000001,8.6,97.3,63.15,62.5,60.1,30.85,73.3,1.6,34.4,5.6,7.6,16.0,16.4,85.1,35.397499999999994,-58.150000000000006,35.0375,11.399999999999999,61.916666666666664,11.816499999999996,High,61.0,"['High malnutrition', 'High anemia', 'High tobacco usage']"
chandel,mizoram,34.0,8.3,14.7,42.4,27.64999999999999,4.9,1.2,81.05000000000001,85.2,99.9,52.0,99.4,63.15,55.5,16.1,30.85,64.7,1.2,39.1,13.4,14.5,21.7,28.2,76.9,21.685000000000002,-71.75,33.9625,19.45,44.916666666666664,5.006500000000001,High,394.5,"['High malnutrition', 'High anemia', 'High tobacco usage']"
mamit,mizoram,26.4,7.4,13.9,45.5,34.9,0.6,0.0,97.3,92.7,97.9,73.3,99.4,75.0,85.9,61.7,30.85,80.6,0.4,26.2,11.4,13.4,14.3,21.0,90.7,20.169999999999998,-86.76666666666667,34.512499999999996,15.024999999999999,74.2,0.6221666666666641,High,620.0,"['High malnutrition', 'High anemia', 'High tobacco usage']"
kolasib,mizoram,30.4,11.3,12.6,53.8,37.7,1.2,0.9,95.3,96.8,99.1,87.5,99.7,91.4,80.4,61.1,30.85,75.3,0.9,21.7,15.7,13.8,16.5,24.3,93.9,23.235,-92.2,32.1875,17.575,77.63333333333334,0.8064999999999993,High,611.0,"['High malnutrition', 'High anemia', 'High tobacco usage']"
aizawl,mizoram,25.3,7.3,9.6,44.0,31.7,7.1,0.8,98.3,96.1,99.7,95.4,99.2,97.4,66.4,37.5,30.85,68.7,1.0,25.8,15.2,17.3,23.4,33.6,97.8,19.419999999999998,-95.59999999999998,31.587500000000002,22.375,67.10000000000001,-0.5594999999999954,Low,666.0,"['High malnutrition', 'High anemia', 'High tobacco usage']"
champhai,mizoram,27.2,12.1,13.1,38.3,27.64999999999999,0.8,0.0,98.6,98.3,100.0,79.4,99.8,96.7,85.3,64.9,30.85,74.5,1.6,21.3,13.4,13.9,16.1,19.6,93.3,19.169999999999998,-91.09999999999998,32.0625,15.750000000000002,82.3,-0.9894999999999952,Low,676.0,"['High malnutrition', 'High anemia', 'High tobacco usage']"
serchhip,mizoram,31.8,8.4,14.4,43.2,32.1,3.2,0.3,97.7,98.2,99.3,81.8,98.7,96.2,84.7,58.8,30.85,74.2,0.4,22.4,14.2,13.8,11.6,17.7,96.8,21.410000000000004,-91.56666666666666,31.962500000000006,14.325000000000001,79.89999999999999,-0.4918333333333287,Low,661.0,"['High malnutrition', 'High anemia', 'High tobacco usage']"
lunglei,mizoram,26.5,9.5,11.1,45.7,34.9,4.0,0.8,96.0,95.6,98.0,79.9,99.0,82.7,73.8,46.5,30.85,75.0,0.9,19.2,13.5,17.1,13.9,20.0,89.8,20.54,-89.5,31.4875,16.125,67.66666666666667,-0.16150000000000242,Low,649.0,"['High malnutrition', 'High anemia', 'High tobacco usage']"
lawngtlai,mizoram,32.7,16.2,16.9,55.3,48.5,2.7,0.5,82.2,90.3,91.75000000000001,56.3,97.0,63.15,70.2,31.3,30.85,77.2,0.9,27.2,11.4,15.4,13.0,20.3,79.9,26.605000000000004,-75.26666666666667,34.0375,15.025,54.88333333333333,5.40116666666667,High,363.0,"['High malnutrition', 'High anemia', 'High tobacco usage']"
mon,nagaland,35.5,7.8,23.3,39.4,30.2,4.7,1.6,86.7,86.4,96.4,13.0,99.5,63.15,62.4,39.3,6.9,52.4,0.2,23.7,9.0,13.0,20.4,35.7,79.4,23.099999999999998,-61.03333333333334,20.8,19.525,54.949999999999996,5.098333333333331,High,386.0,"['High malnutrition', 'High anemia', 'High tobacco usage']"
mokokchung,nagaland,31.4,11.7,22.9,37.75,27.64999999999999,2.4,0.9,97.4,96.7,97.7,46.2,98.7,63.15,92.0,22.3,22.2,53.0,0.4,23.4,8.6,10.1,23.2,28.9,88.0,21.7975,-79.10000000000001,24.75,17.7,59.150000000000006,1.3889999999999976,High,583.0,"['High malnutrition', 'High anemia', 'High tobacco usage']"
zunheboto,nagaland,44.0,26.9,44.5,37.75,31.1,1.8,0.0,91.0,88.9,99.4,18.6,99.1,63.15,60.7,18.1,8.0,48.9,0.2,21.3,11.1,9.9,33.2,41.2,87.4,30.6625,-65.16666666666667,19.6,23.85,47.31666666666666,7.921666666666667,High,218.0,"['High malnutrition', 'High anemia', 'High tobacco usage']"
wokha,nagaland,26.3,23.5,28.0,45.4,30.9,3.6,1.6,83.4,88.5,99.7,41.2,98.9,63.15,44.62499999999999,20.6,12.9,50.4,1.1,27.2,12.2,18.8,24.3,35.7,85.8,24.72,-70.03333333333335,22.9,22.75,42.791666666666664,5.01133333333333,High,393.0,"['High malnutrition', 'High anemia', 'High tobacco usage']"
